%time,field.header.seq,field.header.stamp,field.header.frame_id,field.joint_angle,field.servo1_position,field.servo2_position,field.u1,field.u2,field.u3
1494360199077483892,549984,1494360199071888912,,587.0,0.0,0.0,0.0,0.0,0.0
1494360199084208011,549986,1494360199081888912,,585.0,0.0,0.0,0.0,0.0,0.0
1494360199092744112,549987,1494360199086888912,,577.0,0.0,0.0,0.0,0.0,0.0
1494360199098917961,549988,1494360199091888912,,589.0,0.0,0.0,0.0,0.0,0.0
1494360199107719898,549990,1494360199102888912,,584.0,0.0,0.0,0.0,0.0,0.0
1494360199117578983,549992,1494360199112888912,,590.0,0.0,0.0,0.0,0.0,0.0
1494360199122163057,549993,1494360199117888912,,596.0,0.0,0.0,0.0,0.0,0.0
1494360199130649089,549994,1494360199121888912,,583.0,0.0,0.0,0.0,0.0,0.0
1494360199141041040,549996,1494360199131888912,,591.0,0.0,0.0,0.0,0.0,0.0
1494360199146280050,549998,1494360199142888912,,582.0,0.0,0.0,0.0,0.0,0.0
1494360199154834032,549999,1494360199147888912,,578.0,0.0,0.0,0.0,0.0,0.0
1494360199163115978,550001,1494360199157888912,,595.0,0.0,0.0,0.0,0.0,0.0
1494360199175009965,550003,1494360199167888912,,578.0,0.0,0.0,0.0,0.0,0.0
1494360199183573961,550005,1494360199177888912,,594.0,0.0,0.0,0.0,0.0,0.0
1494360199191828012,550006,1494360199183888912,,580.0,0.0,0.0,0.0,0.0,0.0
1494360199200056076,550008,1494360199193888912,,593.0,0.0,0.0,0.0,0.0,0.0
1494360199208326101,550010,1494360199203888912,,579.0,0.0,0.0,0.0,0.0,0.0
1494360199214231014,550010,1494360199203888912,,579.0,0.0,0.0,0.0,0.0,0.0
1494360199224307060,550013,1494360199218888912,,592.0,0.0,0.0,0.0,0.0,0.0
1494360199232769012,550015,1494360199229888912,,581.0,0.0,0.0,0.0,0.0,0.0
1494360199241884946,550016,1494360199234888912,,594.0,0.0,0.0,0.0,0.0,0.0
1494360199247700929,550018,1494360199244888912,,578.0,0.0,0.0,0.0,0.0,0.0
1494360199256212949,550019,1494360199249888912,,582.0,0.0,0.0,0.0,0.0,0.0
1494360199264564990,550021,1494360199259888912,,590.0,0.0,0.0,0.0,0.0,0.0
1494360199273510932,550023,1494360199270888912,,583.0,0.0,0.0,0.0,0.0,0.0
1494360199282668113,550024,1494360199275888912,,595.0,0.0,0.0,-0.523598790169,0.0,0.0
1494360199290957927,550026,1494360199285888912,,577.0,0.0,0.0,-0.523598790169,0.0,0.0
1494360199300069093,550027,1494360199290888912,,584.0,0.0,0.0,-0.523598790169,0.0,0.0
1494360199309592008,550030,1494360199305888912,,577.0,0.0,0.0,-0.523598790169,0.0,0.0
1494360199319315910,550031,1494360199311888912,,585.0,0.0,0.0,-0.523598790169,0.0,0.0
1494360199323823928,550032,1494360199316888912,,596.0,0.0,0.0,-0.523598790169,0.0,0.0
1494360199330746889,550034,1494360199326888912,,577.0,0.0,0.0,-0.523598790169,0.0,0.0
1494360199337949037,550035,1494360199331888912,,586.0,0.0,0.0,-0.523598790169,0.0,0.0
1494360199345161914,550036,1494360199336888912,,584.0,-0.436332315207,0.191986218095,-0.523598790169,0.0,0.0
1494360199350641965,550038,1494360199346888912,,555.0,-0.453785598278,0.209439516068,-0.523598790169,0.0,0.0
1494360199354814052,550039,1494360199352888912,,564.0,-0.453785598278,0.174532920122,-0.523598790169,0.0,0.0
1494360199361289978,550039,1494360199352888912,,564.0,-0.453785598278,0.174532920122,-0.523598790169,0.0,0.0
1494360199369676113,550041,1494360199362888912,,565.0,-0.38397243619,0.139626339078,-0.523598790169,0.0,0.0
1494360199375575065,550043,1494360199372888912,,571.0,-0.349065840244,0.104719758034,-0.523598790169,0.0,0.0
1494360199383835077,550044,1494360199377888912,,581.0,-0.349065840244,0.069813169539,-0.523598790169,0.0,0.0
1494360199392981052,550046,1494360199386888912,,566.0,-0.366519153118,0.069813169539,-0.523598790169,0.0,0.0
1494360199401403903,550047,1494360199391888912,,580.0,-0.366519153118,0.0523598790169,-0.523598790169,0.0,0.0
1494360199407403945,550049,1494360199402888912,,576.0,-0.418879032135,0.0523598790169,-0.523598790169,0.0,0.0
1494360199415863990,550050,1494360199407888912,,574.0,-0.366519153118,0.0,-0.523598790169,0.0,0.0
1494360199421294927,550051,1494360199412888912,,589.0,-0.401425719261,0.0,-0.523598790169,0.0,0.0
1494360199429639101,550053,1494360199422888912,,583.0,-0.453785598278,0.0,-0.523598790169,0.0,0.0
1494360199438025951,550055,1494360199432888912,,592.0,-0.488692194223,0.0,-0.523598790169,0.0,0.0
1494360199442940950,550056,1494360199438888912,,596.0,-0.488692194223,0.0,-0.523598790169,0.0,0.0
